0x14eb,0xda2b
0x9a82,0x44f
0x8b3e,0xa568
0x8e7d,0x54a
0x57de,0x39b1
0xac60,0xd166
0xc2f,0x6188
0x2d06,0xaa82
0x4d09,0x7f8d
0x2c3e,0x9b25
0xe3e1,0x6dce
0x7ca3,0x348a
0x79a4,0x14c8
0x62ad,0xeb71
0xde99,0xa6cd
0x6d91,0xd29c
0x7765,0x5ca9
0xd31a,0x94ac
0xa5a,0xcb34
0x11aa,0x35fb
0x4b22,0xbb8e
0x3290,0x4419
0xe525,0x5c2f
0xc70b,0x3b19
0x7982,0x462d
0x5d7e,0x1778
0x1bae,0xdd89
0xe8af,0x37d1
0xc837,0x972a
0xef7c,0x33ae
0x3ef0,0x9c13
0x89ae,0xb039
0x900e,0x3df4
0x91d4,0x2f3c
0xe678,0xe4fe
0xd50d,0x239e
0x5896,0xe967
0x8c74,0x9cad
0xfcb3,0x96d6
0x3e09,0x7a6b
0x7342,0xd1ee
0x8343,0x5cc
0x2309,0x5f8a
0x5106,0xf477
0x6911,0x5e8f
0x8c8a,0xb476
0x48fd,0xb6a6
0xcbb0,0x66d1
0xe3a4,0x1404
0x2b65,0xd36
0xb0a0,0x5584
0x4fd6,0x3086
0x399,0xe08d
0x588e,0xda
0xc974,0xbf7e
0xc41b,0x5b2c
0x3495,0x610d
0xf97d,0x3ac5
0xba71,0xd470
0xd684,0x89b3
0x4c7e,0xbd97
0xd924,0xb7b6
0x7704,0xee94
0x887c,0x1ab0
0xf41,0xa430
0x28a,0xc249
0xc85c,0xc52d
0x85f,0xd544
0x5645,0x6bdb
0x5005,0xb261
0x6f8c,0xbc06
0x2786,0xa3d6
0xf6c9,0x15ff
0x762d,0x1b73
0x4ac3,0xcac3
0xc800,0xbab9
0x851e,0xb464
0x67aa,0xc71d
0x8fd5,0xbddf
0x7cc3,0xf160
0x1dd6,0xea7e
0x7914,0xabf7
0x3956,0x81ba
0x25fc,0xdac9
0x2eaf,0x7a1e
0xb153,0xfaf9
0xe981,0xfd64
0xb0b1,0xa9d5
0x8fcf,0x8aff
0xd6cf,0xb228
0x33d4,0x1c68
0xd81a,0x9070
0x61fb,0xc6fa
0x16c7,0x134f
0xd52e,0x3f08
0xda5a,0x8e14
0xc114,0xf33c
0xbe2a,0x521c
0xa7c8,0xaaa2
0xb520,0x88bb
0xe783,0x47ac
0xc0c3,0xcff4
0xc4b5,0x7ca
0xd769,0x40c
0xc3b7,0x2c48
0x9a1c,0xc86f
0x8115,0xcaea
0xd6f4,0xab1c
0xc33b,0x9b3a
0x383e,0x1fd
0xa418,0x68c7
0x77a0,0xc77
0x5cb9,0xcf52
0xb227,0x681c
0x19c3,0x8b10
0x4c,0x94d8
0xc07c,0x5d5a
0x2ccc,0xe14d
0xe80f,0xf29
0xc3b6,0x9cfe
0x2d8d,0x594e
0xd4d8,0xe480
0x5fc,0xc776
0xf499,0x5375
0x53c2,0x8599
0xb5f,0x47ad
0x3d27,0xb66b
0xdd46,0x6d2e
0xb7c7,0x42c
0x8ace,0xb0d8
0xd046,0xc58f
0x16f,0x6834
0x29de,0x5174
0x8c7d,0x774d
0xd3f5,0x4270
0x9bf5,0xb094
0xbe86,0xfe77
0x8caa,0xd988
0x7762,0xb51c
0x88b3,0xf37
0x9525,0x6e2c
0x23d9,0x1711
0xbcb7,0x9edc
0x170d,0x1d5
0x6ff8,0x9f35
0xd4f6,0x2325
0xa0f3,0x8cef
0x2ec1,0x1b95
0x189,0xd6f0
0x57d4,0xcdbe
0x5d0a,0xc7d8
0x3c73,0xe2fe
0xf120,0x2ce4
0x82d3,0x3b3d
0x576b,0x493d
0x1d61,0xea5c
0x404d,0x8aea
0x4012,0xdf2c
0xb933,0x19fc
0x7235,0x5afc
0x60f1,0x296b
0x8f3c,0x4909
0x6f47,0xf885
0xdd5a,0x4c83
0xa038,0xfb7d
0x80fe,0xcdc4
0xa1ce,0x13a1
0x68a9,0x6367
0xc06a,0x59b9
0x8a17,0xeab4
0xc6d5,0x7144
0x5a6c,0x1b18
0xe320,0x2918
0x8a69,0xbf20
0x85dd,0x327c
0x9771,0x5e0f
0x1d5,0xf83e
0xe281,0xff66
0xb45b,0x5d94
0xd6e9,0xd90c
0x1272,0xf136
0x5c77,0x5d
0xe2,0x740f
0xa160,0x5eb0
0x2568,0x5b98
0x16d6,0x3b04
0x3a4,0xf643
0xcfa1,0x344d
0x9715,0x52c9
0xbe63,0x2a91
0xc3,0x7bb8
0x9184,0x2ab7
0xbc0,0x3bfe
0x7bbd,0x6013
0xb9a3,0xa4a9
0x66b9,0x582a
0x18e8,0xcafa
0x63bd,0xd8b8
0x5002,0x2d3c
0xaf5f,0xe790
0x5178,0x32c4
0x51c,0xd16
0xd25,0x3699
0xad15,0xcbd7
0x895,0xed1d
0xfdd3,0xc901
0x4ec7,0xda7b
0xf1af,0xfc36
0x6dfa,0xca9c
0x212e,0x51be
0xc279,0xe9fe
0x1bd8,0xf01f
0x840c,0xc1d5
0x472f,0xde50
0x8da7,0x2ee
0xb2,0xb764
0x7e2e,0x38f1
0x71da,0x69ec
0xeafe,0xc095
0xbc5a,0x707c
0xabf0,0xd806
0x868f,0xfd73
0xe626,0x9f4f
0xf2e9,0xa9ca
0x4173,0xf101
0x9c8c,0x89e2
0x5ee6,0x40a7
0x491d,0xcd7
0xb75f,0x4a52
0x72f6,0xcd81
0x4e3b,0xc9d2
0x86f6,0xeec7
0x393b,0x42f3
0x1d51,0xe538
0xb930,0xbcb3
0x7ee5,0x2ff5
0xf866,0x9fb0
0x153c,0x363d
0xc66e,0x8385
0xbea3,0x6a47
0x3fe1,0x60ba
0x8142,0x8c21
0x4ee5,0x898c
0x713b,0x76a1
0x7532,0xfcdc
0xdc8a,0x9cb4
0x2263,0xa826
0x4521,0x413b
0x9436,0xb95c
0xe08a,0x7b13
0x6c3,0x35e5
0x4fbc,0xa664
0xa23c,0x8021
0xce50,0x5834
0x5768,0x8b42
0x1945,0x4956
0x1e87,0xf3b3
0x36,0xf1b5
0x9ae8,0x1134
0x47cb,0xa7c2
0xba45,0xf19a
0x2a04,0xa902
0x1287,0x8828
0x4509,0xfd35
0xab9d,0x6053
0x976c,0x734e
0x711e,0x8337
0xbb12,0xf33e
0x742a,0xc71a
0x35db,0xf3cc
0x73d6,0x4550
0x61fe,0x3ff6
0x32c2,0x4bed
0x5598,0xa29d
0x9dd2,0x1c32
0x73ee,0x5b37
0x518e,0x72df
0xe837,0xd7bc
0xf73f,0x9f9
0x5b2d,0x340b
0xef6c,0x474e
0xc021,0xa6e1
0x60d5,0x8b94
0xf413,0x8e76
0x8e2d,0x6f3c
0x802a,0xaf33
0x90ae,0x1e80
0x485,0xc155
0x8e93,0x643b
0xa86a,0x8b4e
0xd4d4,0xd21f
0x220a,0x3864
0x3066,0xb628
0xf4ed,0xa4ca
0x1bf2,0xffdd
0x83eb,0x4188
0x634e,0x9c21
0xbf2,0x8f09
0x2043,0xd18d
0x59a7,0x5c04
0x8767,0xc7a
0x4787,0xb89c
0x9702,0x9284
0x9d66,0xd676
0xcf56,0x99b6
0xa89c,0xb030
0x3ac,0x99d6
0x1fb9,0xd5ff
0xaf19,0x7439
0xd02d,0xe734
0x9db3,0x9ebb
0xa9fc,0xd7f6
0xa5c2,0x7811
0x99f3,0xa7a1
0x1112,0xec0c
0xde6e,0x1692
0x1f15,0x91ef
0x89f6,0x3e93
0x9c3b,0x373a
0xe1a6,0xe252
0xe5b,0x5a03
0xfe79,0x2c29
0xb0d,0xec0f
0x7df5,0x7360
0xa35d,0x4c8e
0x14be,0xa5f3
0x64dc,0xf8e2
0xdd24,0x178f
0xb140,0x6cbd
0xd767,0xf243
0x52d4,0xb4ce
0xa9c1,0xeaae
0x3c3,0xb53a
0x54a6,0x9f96
0x7634,0x894e
0x93ab,0xc7f9
0xbe99,0x12aa
0x124b,0x9a3e
0x754d,0x155f
0x1f02,0x192
0x3c6f,0x266d
0xb29d,0xa1cd
0xd8dc,0xfe5c
0x8e9,0x35f7
0x2d91,0xa58b
0x7790,0xf8e9
0x1ec3,0x544b
0xfb20,0xcf11
0xb9c6,0x473e
0x3153,0x7d4c
0xb5ad,0x8a1d
0xf3f1,0x9c01
0x8de3,0xd4f4
0x4bd1,0xa88b
0xf091,0xad93
0xf5fa,0x9748
0xcfc2,0xb34c
0x87b6,0xb495
0x405c,0x687e
0x5fa,0xce96
0x9cf5,0x783
0x22b4,0x566d
0x2a4c,0xd573
0x170d,0x1d5
0xd3bd,0x8d4a
0x99cc,0xbfa1
0xab16,0xb5fb
0x249e,0xc0db
0xc9dc,0xca5
0xc872,0x172
0xdedf,0xd413
0xa9b5,0xe74e
0xffbd,0xb4fa
0x4688,0xf8b4
0xb3cd,0xbc36
0xef79,0x7339
0x961,0x19d3
0x5d97,0x7c79
0x6d05,0x5713
0xf587,0x5c7d
0xa609,0x8a8a
0xdf8,0x27a7
0x3c6a,0xb44e
0x5039,0xe0a7
0xe600,0x161d
0x2a54,0xa0d8
0x2ce0,0xfa55
0xd803,0x8ff9
0xb72,0x43be
0x2020,0xd7a
0x814f,0xdbd
0x6b20,0x73af
0xeb8f,0x35ff
0xe808,0x58ab
0x8089,0x3dac
0x2f6a,0xfbb
0x7612,0x48f8
0x6477,0xfbe1
0xb640,0x5e95
0x7bc2,0x98b0
0xe961,0x68a2
0xff7c,0x241a
0xbe16,0x8e62
0x709f,0x1957
0x3cb,0x2f0a
0xdafe,0x71fb
0x6440,0xde76
0x76a0,0xc6c0
0x1f76,0x7ec9
0x2114,0xbdc4
0x9364,0x9863
0x11c8,0x66eb
0x5a6d,0x181f
0xefce,0xa691
0xc5ff,0x99e0
0x7777,0x737a
0x532e,0x573b
0xc72a,0xdcfd
0x8389,0x311c
0x69d6,0xf215
0x40b9,0xabe2
0xd7d3,0x608d
0x2ada,0x517
0xf10,0xd3e5
0x97be,0xf21
0xdfc,0xf5cd
0x1292,0x9646
0x8a70,0x9037
0x154e,0x2e8e
0x29bc,0xb9c1
0xa4ee,0x8b88
0x3bb2,0x6246
0x7f45,0x319c
0x6725,0xa6c6
0xcf8a,0xea76
0xf738,0x25be
0xeed8,0xffcc
0xaac2,0xf023
0xc1e6,0x34dd
0x91d4,0x2f3c
0xf2ff,0x70b4
0xbcde,0x1412
0x689d,0xd85f
0x616,0xedd5
0x88b9,0xb966
0xeb72,0x39ff
0x999d,0x1490
0x2063,0x402d
0xf545,0xe42d
0x8584,0x3476
0x76e2,0x83de
0x440f,0x6b37
0x277f,0x6ee6
0xbb46,0xe867
0xf7f7,0x9e01
0xe279,0x311e
0x7a58,0x819b
0xfb89,0x424f
0x1342,0x8892
0x2ebc,0xb690
0x9a80,0x21db
0xa7c3,0x10b
0xf0b4,0x9654
0x49ba,0xcff2
0x5e22,0x29ff
0xe6b3,0xd154
0x90bc,0x6953
0xef71,0x4d3d
0xabd3,0x54e5
0x3566,0xe6c3
0x566c,0x174e
0x7e6e,0x171e
0x3f31,0xefdd
0x7094,0x1ed6
0x9444,0xa0c2
0x9828,0x4fc5
0x70db,0xb711
0xd0c1,0x6e7b
0xe63f,0xebdd
0xa2a2,0x3708
0xf937,0xc4a0
0x1813,0xb0ee
0xc4e1,0xba7e
0x6133,0x9a50
0x3816,0x927d
0x892,0x88c5
0x1d1,0x8477
0xcbc8,0x5dd3
0x7105,0x5356
0x547e,0x79c6
0x4f6,0xdde5
0xc2ae,0x2956
0xf07e,0x5a08
0x629d,0xa8ed
0x9365,0x8f8f
0x11eb,0xbe20
0x7f1f,0x543
0xdd25,0x66ff
0xb876,0x3ca9
0x8628,0xd73a
0xea4d,0x66ab
0xc03a,0x52d6
0xf28a,0xa8e4
0x370,0x9915
0xb423,0x23a4
0x3e92,0xd2ed
0xa18b,0xcada
0xd1cd,0x2515
0xb7da,0x1c7f
0xde98,0x4e84
0x9c26,0x72f3
0xcc08,0x3713
0x83f2,0x6ddd
0x59,0x87d9
0x8995,0xa396
0x6375,0x5a31
0xbea8,0x6036
0x8faf,0x1eb9
0x9b3c,0xa52f
0x2093,0x169a
0xa65,0x9f0
0x107e,0x889d
0xee51,0x35aa
0xb3c0,0x6ceb
0xdab2,0x8c7
0x34d0,0x4701
0x2a2e,0x5413
0x99cd,0x144e
0xfe9,0xe343
0x41ef,0xa457
0xdd2e,0x5752
0x94bb,0x79c
0x7687,0xd00e
0xffb,0xcff5
0x78a3,0x677a
0x2265,0xc0cb
0xebda,0x7f48
0x5af8,0xc6a
0x3948,0xb7a3
0x548b,0xf3da
0x9c8b,0x3259
0x9770,0x37fb
0xd345,0x4bd7
0xc9c6,0x6a61
0x3de9,0xc711
0x6990,0x5827
0xd214,0x14a7
0x7ed1,0x6cdf
0xba78,0x75fe
0xae3b,0x5c9
0xe6f,0xd273
0xf8fa,0x5ef8
0xd82c,0x477e
0x6988,0x3a41
0x2447,0xbc5e
0x510d,0x5c90
0x3dbd,0x9fc8
0x3df2,0x68e2
0xae8b,0x629
0x1601,0x99ad
0x263f,0x40a8
0x5bc0,0x48fb
0x6ae5,0xc0fa
0xfd1,0x3f99
0x36d0,0xfa92
0x507e,0x74e3
0x4d24,0x42ec
0xd43e,0x2e57
0x34,0x7d4d
0x6306,0xd755
0xf2af,0xaaee
0x1f75,0x3f85
0xf7de,0x52a9
0x1ebb,0xfc02
0xdc68,0x89c0
0x15af,0xbd24
0x8ab6,0x83bb
0xef83,0x568f
0x158b,0xf590
0x768c,0xddd7
0x9c94,0xe046
0xaf3,0xbffa
0xd127,0x165e
0x9162,0xd389
0xea83,0x8e1f
0x5d3c,0xb86a
0x7762,0xb51c
0xea88,0xfd6
0xea07,0x9498
0x2b1e,0x1e17
0xc5d2,0x756c
0x3097,0xa258
0xce14,0xac99
0x2bd8,0x74bd
0x62e1,0x9172
0x78b9,0xf9cd
0x7f2a,0xf19f
0x9cf0,0x23b
0x8756,0x4839
0x3635,0xf5a0
0x3c6e,0xd6a6
0xbbe0,0x9c77
0x1154,0x16f8
0x33b9,0x62b4
0xd612,0x768d
0xa1e0,0x66db
0xb00d,0xef69
0xa47e,0xa2c8
0x6482,0x8e21
0x656a,0x8dac
0x29f6,0xdabb
0x11cd,0xda66
0xf1f3,0xbaf9
0x3365,0xa466
0x143d,0x9b50
0x4a05,0xb60
0xa4a7,0xd469
0x592,0xabae
0x9537,0xaf15
0xa10b,0xd337
0x1e87,0xf3b3
0x5648,0xbb6b
0x4e82,0xd3ba
0x2271,0x4205
0xdaee,0x5555
0x2ab9,0xe1d0
0x41c3,0xc125
0xb7f2,0xc132
0x8f29,0xd3c1
0x9440,0x4212
0x60d6,0xe107
0x2353,0xa8d0
0xabe5,0xdb0b
0xeab1,0x84a2
0x4adc,0x1796
0x321c,0x3a85
0x176,0xd390
0xb427,0xe51f
0x597d,0x80f
0x27c1,0x80bb
0x8f5f,0x1639
0x90a2,0xa6e4
0xd483,0x2100
0x8b9e,0x8a3f
0xec8f,0x51bf
0xd50b,0x7c9e
0xb081,0x2cbf
0x135c,0x7407
0x541c,0x2162
0x6232,0x3d4b
0x7927,0x7c1f
0xa482,0x523c
0xef83,0x568f
0xbc2d,0x8a1b
0x3f20,0x5f71
0x58ef,0x7c1
0xf064,0x55a7
0x6a5e,0x83f5
0x2ff3,0xdfaf
0xcbe,0xd592
0x6f52,0x7a06
0x6607,0xc602
0x69d3,0xdc3b
0x89c5,0x13f3
0xe86,0x2a79
0x7984,0x8976
0xffa3,0x2855
0x423,0x5c6b
0xe1cb,0x290e
0xb69f,0xc77d
0xb84a,0xafb5
0xe33e,0xa762
0xc33,0xb6c
0x1fd4,0x277
0x2455,0xbfdc
0x7cf2,0xef1b
0x861a,0xb1f9
0x188c,0xb36c
0x58d9,0x905d
0xdfdd,0xf2cf
0xa056,0x8601
0x59e2,0x3fc0
0x4efe,0xd17
0x8ac3,0x4cd4
0xfe52,0x8e31
0x68f4,0x2981
0x4496,0x1d22
0x3b64,0x71c3
0xbbea,0x99c3
0x3864,0xc64e
0x3b09,0xbfd9
0xb758,0x53af
0x4f15,0xdeca
0xefcb,0xc09a
0xb8ba,0xac9e
0xccfb,0x5c2
0xf825,0xb6b8
0x2a31,0x71b8
0xf5dc,0xcd73
0x35ef,0xfaa8
0x6cc5,0xbc8f
0x71d1,0x1c4e
0xbad9,0xd3c5
0x7807,0x4086
0xe316,0xe4d6
0xded2,0x14af
0x15d6,0x3461
0x9b32,0x4b9a
0xdbe1,0x6388
0x885a,0xc57
0xbc31,0x76e
0x17a8,0xf541
0x2ed1,0x1499
0xb009,0x140a
0xba73,0xc9c6
0xc86f,0x4088
0x49,0xbf0a
0x8985,0xf3f7
0x311a,0xab63
0xab59,0xbca4
0xd9f2,0x1a74
0xb706,0xe890
0xfb19,0x8608
0x54b3,0x6225
0x206,0x1dc3
0x319e,0x34e6
0x5e9f,0x9a63
0xce57,0x6566
0x261d,0x1309
0xe2b0,0xa705
0x7e4,0x1b9
0x1ad4,0x789d
0x67ef,0xeb39
0x99e8,0x1a1f
0x3376,0xab49
0x2fd,0x4df9
0x11f9,0xa1f6
0x5876,0x4d40
0x5ac1,0x84c9
0x16bf,0xda8f
0x7ae7,0x71c6
0x95d7,0xdaec
0x2c23,0xe428
0x47a,0xce86
0x1173,0xfa62
0xdad8,0xd480
0x7cc3,0xf160
0x5b44,0x54f0
0xc1b,0x508
0x9f6f,0xf826
0xaf12,0x7681
0x4ab9,0xf525
0xf306,0xe51d
0x24e,0x7657
0xa059,0xbaf2
0x1ab8,0x1ed
0xc902,0xd9a0
0x8e01,0x1379
0x4473,0x6d29
0xc8ae,0xa472
0x54da,0x33ad
0xd288,0xa7eb
0xd7c6,0xf019
0x4026,0x47d0
0xb6ae,0xddd0
0xc06b,0x6112
0x18c0,0x5e05
0x118,0x385e
0x77df,0x60a8
0x6a06,0x6e8b
0x9ed0,0x570b
0xd9e2,0x162d
0xabb0,0x6d3
0x38f5,0x9aff
0x3bfe,0x5b2d
0xc40e,0x5e8a
0xa4d3,0x6479
0x882,0x741
0x7ca7,0xea78
0xe753,0x7705
0x9c09,0x38b4
0x559c,0x1b19
0x47fa,0x3c20
0xe42d,0x95b2
0x1054,0x478
0x49e3,0x27cf
0xab72,0xc2f6
0x5c5f,0xcb22
0xf438,0x5496
0xdcda,0x3f70
0x6466,0x9be5
0x94ce,0xafc6
0xbdaf,0xf149
0x73e,0xa2c2
0x5bd3,0x9be6
0xac5e,0x8285
0xb85a,0xb567
0x9eac,0xa924
0x2a1e,0x759d
0x203,0xe1be
0xc69a,0xbad6
0x2c69,0x8274
0x769c,0x1a40
0x3d5b,0xba71
0x6c62,0xb98c
0x62d1,0xff10
0xfb6b,0x6a14
0x48a8,0x68cb
0x199d,0x148d
0x772a,0xfbec
0x94fa,0x85a2
0x2dfd,0xf0bc
0xf347,0xf8f2
0xc98c,0x94a7
0x505b,0x88bf
0x6436,0xe025
0x90e0,0x95eb
0xb31e,0xc404
0xb403,0xca07
0xf712,0xd91
0xc69c,0x41c
0x8362,0x542b
0x2330,0x6355
0x8681,0x9e98
0x458b,0xfdb1
0x6e4a,0xd9f7
0x477b,0xc126
0x61b5,0x9d28
0xe3a4,0x1404
0xc692,0xfab
0xfafe,0x656f
0xf0e5,0xd41
0x7416,0x5814
0x8bda,0xa1f8
0xc03c,0x29a9
0x2639,0x45b4
0x9c6a,0x966c
0xca72,0x6df6
0x851b,0x341d
0x8674,0x3d04
0x6b39,0x81e5
0x1598,0xa098
0xd06c,0x46f7
0xc9de,0xecb5
0xe08,0xbe74
0xc1dd,0xc7b5
0xb240,0xf4fc
0x5436,0xec0b
0xac0e,0xcd04
0x9125,0x59c3
0xaee7,0x744a
0xf612,0xbf09
0x6285,0xee9c
0x7a45,0x7ffe
0xcc93,0x3dcb
0x3b8e,0xaca8
0xa4,0xa851
0x37c,0x7f7a
0x62b3,0x8060
0x21a4,0xa7ed
0xe4ea,0xc130
0xc2c8,0x5488
0xc862,0x52ef
0x9de6,0xa96f
0xf77d,0xb882
0x7e49,0x89f5
0xc3f4,0xbc68
0x3c43,0xb452
0x1d43,0xd957
0xd067,0x4b2e
0x3524,0x2014
0x3c64,0xa33a
0xc4f9,0x720e
0x9a28,0x11b8
0x8fb7,0xc9ac
0xe70e,0x7be4
0xf0e6,0xc12a
0xe0b4,0x5f4c
0x598d,0x683c
0xa1da,0x560b
0xeaba,0x983d
0xf756,0xc4e3
0x53c5,0x9c4a
0xf6d0,0x9d59
0xaeec,0x7f80
0xe081,0xe150
0x285,0x72b1
0x5c5f,0xcb22
0xe269,0x5f8d
0x6afe,0x9ef4
0x8da0,0x5f1a
0x669e,0x48f6
0x9239,0xf982
0x4705,0x5dfb
0x6b50,0xd53a
0xce8b,0x540a
0xf38b,0x708a
0x866,0xc934
0xa688,0x2e81
0x2b3e,0xfa84
0x8de8,0x4c85
0xd99f,0xb725
0x776a,0x52bc
